nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
India,1406632000,3287263,Asia
Francia,67970571,643801,Europa
Canadá,39074754,9984670,América
Australia,25999400,7692024,Oceanía
Rusia,146424993,17098242,Europa
China,1440783550,9596961,Asia
España,47560635,505990,Europa
México,128932753,1964375,América
Italia,57888598,301340,Europa
Corea del Sur,51284667,100363,Asia
Indonesia,275501339,1919440,Asia
Turquía,85326000,783562,Europa
Nigeria,223804632,923768,África
Egipto,104888695,1002000,África
Sudáfrica,60142978,1221037,África
Marruecos,37344795,446550,África
Portugal,10406568,92090,Europa
Grecia,10390000,131957,Europa
